"relatednessrel:morphTypeop","relatednessrel:morphTypetr","car::anova_pValue","nSbj","nDatapoints","converged"
-6.83118950587727,-14.2336532914149,NA,40,7330,1
-5.88802322373879,-16.604879218476,NA,40,7188,1
-4.14228590862202,-13.2284072867911,NA,40,7242,1
-7.4752828752997,-20.3430112247036,NA,40,7082,1
-3.70250799288994,-18.6403269982771,NA,40,7223,1
-8.54585263409122,-17.5643317113779,NA,40,6994,1
1.46807687548906,-13.8526350881128,NA,40,7084,1
-2.53787225741734,-20.8875401206146,NA,40,7173,1
-3.7853925090198,-16.2969016336535,NA,40,7154,1
-12.9794746519476,-23.2620856354772,NA,40,7155,1
-10.1642595190604,-29.1715343256489,NA,40,7034,1
-12.2190058172219,-19.4333322114728,NA,40,7021,1
-5.36476063298957,-9.14184945134992,NA,40,7107,1
-1.83119733581259,-19.5818446402551,NA,40,7165,1
-4.30349713890162,-23.1837606506445,NA,40,7229,1
-0.253898659855636,-11.8502622256315,NA,40,7161,1
-4.52690607985208,-14.2941869450308,NA,40,7323,1
-8.66307335220019,-21.1352509900678,NA,40,7105,1
-5.57185242809306,-18.0016553997145,NA,40,7296,1
-4.91935484692611,-16.4620907870897,NA,40,7149,1
-3.05893303414121,-2.71877953117015,NA,40,7221,1
-10.7715090608599,-21.8231915996823,NA,40,7149,1
-11.7321190855334,-18.2954139716394,NA,40,7162,1
-14.2882816902309,-17.7233227649703,NA,40,7103,1
-1.28031932229438,-15.3535666145407,NA,40,7114,0
-7.24004633353427,-16.2573773015131,NA,40,7157,1
-6.11552081118075,-9.38475490219009,NA,40,7184,1
-5.80226973497912,-22.0322957190274,NA,40,7206,1
-5.65367605217836,-16.5504553415394,NA,40,7166,1
0.0946407873246318,-16.3744349021102,NA,40,7274,1
-10.3277573303013,-17.1848123863165,NA,40,7343,1
2.30197985340329,-13.5299535601998,NA,40,7120,1
-1.29005731899616,-18.9404267607162,NA,40,7122,1
-0.63642666380615,-9.83797142705659,NA,40,7132,1
-12.5399461723346,-27.8481933416351,NA,40,7154,1
-4.72935688506629,-18.7474185899058,NA,40,7134,1
-7.83011272583289,-18.8423444190978,NA,40,7213,1
-4.35057155810173,-16.4733140815214,NA,40,7142,1
-5.52638618944093,-20.6784239146068,NA,40,7155,1
-8.46306945776564,-15.3872556398662,NA,40,7040,1
-17.3732746266185,-18.891652550878,NA,40,7220,1
-5.49842680321216,-19.0588197535902,NA,40,7249,1
-2.93758998490483,-12.8199759470263,NA,40,7257,1
-7.88140030645955,-17.2941066936142,NA,40,7033,1
0.415745787679232,-14.7539324322262,NA,40,7132,1
-8.8051603496398,-18.5261502037351,NA,40,7082,1
4.88456378955284,-11.4593237673251,NA,40,7103,1
-1.67355224015851,-23.6925551153823,NA,40,7074,1
-13.7253320900841,-19.8510059187461,NA,40,7157,1
-1.21516873138752,-10.0090626594321,NA,40,7210,1
-1.28838920524137,-15.7859744369754,NA,40,7264,1
-6.15335764639849,-14.5328343976009,NA,40,6993,1
-7.81146156929544,-14.4460079625166,NA,40,7157,1
-4.7612454396476,-20.202419947391,NA,40,7080,1
-1.91829518705107,-19.8982611316538,NA,40,7128,1
-2.86253472024792,-11.2871893594584,NA,40,7119,1
-5.8004277701645,-17.5262406057599,NA,40,7160,1
-5.41851560074025,-15.8661126115721,NA,40,7193,1
-2.22555567099607,-14.5158192398738,NA,40,7179,1
-8.8199942604856,-16.6348322761998,NA,40,7035,1
-2.82440818700155,-24.5789866006562,NA,40,7038,1
-1.80635627364409,-13.9630494873625,NA,40,7260,1
-9.09681926722214,-21.7577347090315,NA,40,7203,1
-6.21777106399425,-22.4949488375463,NA,40,7071,1
-5.06123388163826,-17.6872596308634,NA,40,7126,1
-6.91995960393673,-18.4731742259285,NA,40,7058,0
-2.87088563003864,-19.9594375430816,NA,40,7359,1
-13.9534627207195,-15.5664877682247,NA,40,7183,1
-0.888058749570785,-11.6254579144359,NA,40,7168,1
-13.3198357153525,-21.21409870267,NA,40,7191,1
-6.6657300104491,-15.9871245089489,NA,40,7217,1
-3.09735524409316,-17.4476143252063,NA,40,7183,1
-14.0750465765508,-17.3323724552051,NA,40,7236,1
0.790721763488231,-17.7576353394069,NA,40,7210,1
-10.75987868835,-16.2526500230113,NA,40,7112,1
-4.07427550818036,-14.8539060212616,NA,40,7082,1
-6.484142275808,-23.0847495811041,NA,40,7265,1
-5.68147476885473,-20.5894371072499,NA,40,7069,1
-0.423588080502039,-17.2725434731459,NA,40,7168,1
-3.48083590594597,-17.1191568276754,NA,40,6920,0
-12.6294813625237,-26.5928236578475,NA,40,7167,1
-13.752187003806,-23.4270784586841,NA,40,7142,1
-5.34282656615813,-15.3123055790142,NA,40,7108,1
-3.7266055500422,-13.6885176776957,NA,40,7309,1
-0.16534704064669,-13.8735019249897,NA,40,7112,1
-9.52577279339393,-17.2284304565501,NA,40,7086,1
-12.0341764098338,-20.3507344512144,NA,40,7028,1
-6.49929741915316,-21.2066340613879,NA,40,7221,1
-18.4494116175183,-19.4312292327318,NA,40,6983,1
0.0419081254524268,-12.4803852183586,NA,40,6966,1
-6.75176107516524,-9.07434176131425,NA,40,7246,1
-12.5291280075979,-15.8165115746957,NA,40,7142,1
-12.5171252555487,-18.9248494023885,NA,40,7072,1
-0.769727805786617,-17.1253502907225,NA,40,7049,1
-7.72096967771567,-17.1708840595139,NA,40,7270,1
0.233237368185255,-12.9246757622221,NA,40,6962,1
-2.0637588137179,-12.1858503092085,NA,40,7234,1
-15.2918510839143,-20.6123557018055,NA,40,7148,1
-6.81353608239399,-17.8005988564982,NA,40,7210,1
-0.760114125471478,-17.6913909692698,NA,40,7425,1
-4.70267662582978,-18.5788879728295,0.00046479302979072,40,7137,1
-5.25455013480145,-21.094144194135,1.41700365399105e-10,40,7136,1
-3.3103869621276,-10.1921744900607,0.486898102259344,40,7097,0
4.35783086445679,-8.66879843320772,0.0143286728471376,40,7082,1
-12.4562777660199,-20.7588917669255,1.12671095186875e-08,40,7216,1
1.14723409623867,-17.6469663690115,0.00200063819375966,40,7287,1
-8.36720873314902,-15.0720074092366,0.238854787617465,40,7101,0
-5.81926586133825,-19.0139773026895,9.24669962237285e-06,40,7116,1
-13.8045721490485,-30.7195786769303,2.37308818399732e-21,40,7123,1
-3.14841353617257,-21.7204361157443,1.00789874758669e-07,40,7155,1
-8.95985571911841,-27.2776098865022,6.30267264177728e-08,40,7072,1
-6.22175802109065,-11.8514552026753,0.00290045381999372,40,7058,1
-4.55005204868754,-20.9583201519548,1.27677321475885e-09,40,7126,1
-1.30656019642331,-16.2357857274728,0.0104224844775571,40,7136,1
-11.3479669113711,-17.8791250630029,3.5677327902197e-08,40,7190,1
-6.30548574266345,-17.4449130876525,9.20142817437862e-08,40,7041,1
4.08489143694221,-9.91604858242963,0.028646499882661,40,7084,1
-6.15315826883448,-16.5813315511306,5.19515291952388e-06,40,7204,1
-0.238105455022914,-16.6145339136117,1.78932220748368e-05,40,7231,1
-12.6087937722286,-19.8003916742229,5.48142475100671e-08,40,7195,1
-12.5829675193162,-23.4196780647879,1.85025092323182e-06,40,7034,1
-0.553358606299695,-15.6939402637361,3.52634685904163e-05,40,7137,1
-11.7279690628031,-23.7797037613975,0.0236026300167285,40,7210,0
-12.5434311027062,-22.7998396560447,2.82823048633983e-14,40,7247,1
-1.25423438037428,-13.3611019847868,0.216782444043535,40,7108,0
-9.61046147881152,-22.30000195991,7.47247244326477e-14,40,7104,1
2.68178877810059,-15.2518242691119,9.18583177391189e-05,40,7189,1
-3.09161177580753,-19.6783837083012,6.11537936058870e-10,40,7153,1
-4.77376895350601,-14.7691047615495,0.00412887058596866,40,7239,1
-6.16445090137448,-21.5876804431113,6.6553141828998e-07,40,7191,1
-3.67396867337569,-20.6127858073778,1.25644363784701e-07,40,7061,1
-3.75845268652692,-14.3130102942249,0.000272019686579162,40,7249,1
-3.08675265529973,-13.4928151672142,2.16485527128714e-05,40,7246,1
-5.65423226746624,-22.2062710912561,0.0270614782316412,40,7193,0
-14.7553113238911,-20.300782008776,1.46153163842256e-13,40,7124,1
-5.59591805075206,-20.4712144343481,1.62798152941377e-05,40,7167,1
-8.37180144491239,-20.0605316064677,3.94737295617066e-08,40,7256,1
-7.10496576590369,-21.3015108092188,0.0485602978702364,40,7150,0
-5.00294747167125,-19.2400686427345,0.00853094550736126,40,7208,1
-3.00031438020253,-14.4319663460284,0.00106491314865358,40,7192,1
5.67205566409932,-6.43218245953492,0.130911675650399,40,6965,1
-4.13671049535528,-18.2803828494962,2.00870604815606e-05,40,7082,1
-7.48127370872399,-16.8228477852336,8.22324695296519e-06,40,7098,1
-3.80396192934692,-21.2076467240335,1.02098259334676e-09,40,7214,1
-7.07509560836046,-21.8616481459474,2.30729448404204e-08,40,7184,1
-9.57092346731485,-24.197634192796,2.70455625260853e-15,40,6999,1
-3.15244369394654,-14.1981995447177,0.0021060194811835,40,7140,1
-2.50055011234342,-18.8395108834346,6.060719434597e-05,40,7365,1
0.527070448510029,-15.9556454579416,1.9696419745597e-05,40,7119,1
-4.73605179261098,-18.4991101210345,0.000103590420126106,40,7135,1
-11.2946281853836,-13.2398943102714,2.95917786607095e-05,40,7109,1
-4.54507206202573,-12.0665297383394,0.374718884430616,40,7166,0
0.966246980258453,-12.7800118537495,0.00165653562254918,40,7173,1
-13.1563447264891,-23.090509443173,3.23003426595486e-09,40,7124,1
-0.255082395474445,-13.7751205197943,0.000253313179204633,40,7189,1
-7.57355480339333,-15.6548960087792,1.97154732760779e-05,40,7173,1
-1.69444505410919,-15.1266837553668,0.00152604324360894,40,7308,1
-3.0019930348923,-19.7385383034552,4.49282468604038e-08,40,7275,1
-3.86257898221966,-12.9233166001919,0.312682491778178,40,7150,0
-4.43626560493131,-21.7732667226811,4.02811033536224e-06,40,6991,1
4.73051226886014,-12.4606788217246,0.000356135945186639,40,7283,1
-8.33955223380188,-20.8513574433561,0.0623924889475703,40,7113,0
-3.09977220890065,-17.9401100994326,0.000472616781570333,40,7223,1
-1.94619267162701,-10.1119024344985,0.142481256871484,40,7126,1
-11.4599429745085,-18.3389192974155,1.42282244109057e-07,40,7147,1
-8.20615994706719,-14.6446685570851,3.68777394050269e-05,40,7052,1
-7.35485909398038,-9.87434731905527,0.00178919956747707,40,7246,1
-5.69551411999526,-12.7260422259332,0.000452995811945271,40,7244,1
-14.7323803253761,-24.722675458622,0.0189518667579297,40,7219,0
-10.5818539861166,-19.4272886524854,9.41082161148746e-06,40,7129,1
-8.63679723216272,-20.0808166166955,2.83053803555418e-08,40,7229,1
-8.28473901585213,-17.652507084157,1.4356118171012e-05,40,7205,1
-4.32727389764078,-20.7824006137878,9.84972340140205e-07,40,7130,1
-10.2118931887708,-19.0660894302488,1.01596076537715e-08,40,7104,1
-0.718818953109436,-13.5092464725985,0.0110291904249237,40,7285,1
-5.67763005659591,-16.1448583081046,0.000314232985150995,40,7154,1
7.73193182497395,-15.8457588581376,6.93081789359288e-05,40,7004,1
-6.87363128526634,-16.5764563160663,2.45114079214823e-07,40,7187,1
-18.8404259607065,-23.6938739944338,1.40510663606777e-12,40,7177,1
-7.62189803908404,-16.4152288131594,1.71124060697708e-06,40,7015,1
-0.512887417826614,-16.2266008123019,0.000105010861491393,40,7045,1
-2.31019231840601,-18.6365544716606,2.72392391759437e-06,40,7192,1
3.29553881489692,-13.3917100149546,0.000807315202195679,40,7181,1
-0.347232990449422,-16.4379539571886,0.0773103998428211,40,7273,0
-16.6444237662326,-19.8806626970585,5.46987000084893e-10,40,7142,1
2.69468582113611,-14.1155512079402,0.000330537442052146,40,7214,1
-6.2321518824161,-15.6909983359758,8.00045525162495e-05,40,7326,1
-3.99265927887217,-18.7654657016064,1.85159629568279e-05,40,6917,1
-0.586413287133136,-13.4602909728096,0.000813649441686705,40,7123,1
-8.78939899679337,-16.6892114758372,5.82730641075114e-06,40,7154,1
-10.9825112258619,-21.1368534833078,2.27947692226663e-07,40,7153,1
-3.38481606479165,-18.7223055308584,1.75104994785137e-05,40,7184,1
-5.08831308806947,-10.1865245366204,0.0154416458602831,40,7148,1
-4.36131816440405,-16.0151481223444,0.00520533293855336,40,6993,1
-5.95295712817792,-14.5174729042706,0.000208935809231635,40,7058,1
-1.83557676330809,-19.5427870036785,1.51962026533109e-07,40,7154,1
3.75695014885712,-11.2155124482847,0.00481040373248519,40,7203,1
0.259762303454478,-13.6338113795752,0.00730205325239467,40,7244,1
-12.0308508585625,-12.038952622112,0.0115751557434557,40,7063,1
-6.12101892469612,-19.5572778003543,1.50413266258399e-08,40,7206,1
